;Website;General rating;Title;Company;Company_type;Company_sector;Country;City;Summary;Date;Job_id;Job_url
0;indeed;3;Junior Data Scientist / Artificial Intelligence Consultant (...;DELOITTE;Large Enterprise (+5000 employees);Audit, Consulting, Financial Advisory, Risk Management, and Tax services;LUXEMBOURG;Luxembourg;Gather raw data and create data visualization scenarios, as well as dashboards under the guidance of project team. Strong data & logical analysis skills.;30 day ago;28d4deef19937a4a;https://lu.indeed.com/jobs?q=Data%20Scientist&l=Luxembourg&radius=10&start=0&lang=en&vjk=28d4deef19937a4a
1;linkedin;3;Paid Internship in DataScience - 4/6 Months (m/f);PROCTER & GAMBLE;Large Enterprise (+5000 employees);Consumer Goods, Marketing, Advertising;SWITZERLAND;Petit Lancy;;21 day ago;2714546638;https://ch.linkedin.com/jobs/view/paid-internship-in-datascience-4-6-months-m-f-at-procter-gamble-2714546638?refId=1sJliK4EG4mDIsjM34onrA%3D%3D&trackingId=3cC%2B6%2FR42oSUFjBtuNOIMQ%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
2;indeed;3;Junior Data Scientist;ADIDAS;Large Enterprise (+5000 employees);apparel, footwear, premium fashion, sports brand, football, running, training, basketball, originals;NETHERLANDS;Amsterdam;Experience on data aggregations, data models and operationalization of data mining algorithms. Scope: Accountable for defined area of data science practices.; day ago;3eefff157d4f3b9e;https://nl.indeed.com/jobs?q=Data%20Scientist&l=Amsterdam&radius=10&start=0&lang=en&vjk=3eefff157d4f3b9e
3;indeed;3;Junior Data Scientist;DECATHLON;Large Enterprise (+5000 employees);Sports, Vente, Conception;NETHERLANDS;Amsterdam;Thus you will be responsible for the complete data pipeline. 0-2 years of experience in the field of data science. Performing analysis to test business ideas.;5 day ago;87d455719f00967d;https://nl.indeed.com/jobs?q=Data%20Scientist&l=Amsterdam&radius=10&start=0&lang=en&vjk=87d455719f00967d
4;linkedin;3;Junior Data Scientist;DECATHLON NEDERLAND;Large Enterprise (+5000 employees);Sports, Vente, Conception;NETHERLANDS;Amsterdam;;5 day ago;2739848936;https://nl.linkedin.com/jobs/view/junior-data-scientist-at-decathlon-nederland-2739848936?refId=hPO6qy4mazidZvIA89OX1Q%3D%3D&trackingId=%2BV8Q1lW7wbPYb3l4waBu%2Fw%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
5;indeed;3;Paid Internship in DataScience - 4/6 Months (m/f);PROCTER & GAMBLE;Large Enterprise (+5000 employees);Consumer Goods, Marketing, Advertising;SWITZERLAND;Lancy;Report a senior data scientist, be co-located within a DataScience and Analytics team, part of P&G's global DataScience organization.;4 day ago;8ec738286366de75;https://ch.indeed.com/jobs?q=Data%20Scientist&l=Geneva&radius=10&start=0&lang=en&vjk=8ec738286366de75
6;linkedin;3;Junior Data Scientist;ADIDAS;Large Enterprise (+5000 employees);apparel, footwear, premium fashion, sports brand, football, running, training, basketball, originals;NETHERLANDS;Amsterdam;;<1 day ago;2737679507;https://nl.linkedin.com/jobs/view/junior-data-scientist-at-adidas-2737679507?refId=hPO6qy4mazidZvIA89OX1Q%3D%3D&trackingId=fdaB6tuGHC5qgrq5w4LHpQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
7;indeed;3;Junior Data Scientist;ARCELORMITTAL;Large Enterprise (+5000 employees);long and flat-rolled steel, automotive steel, tubular products, high-strength steel, iron ore mining, coal mining, research and development, industry 4.0, digital industry;LUXEMBOURG;Esch-sur-Alzette;Objectives: • Data cleaning and harmonization from various data sources. Mandatory skills: • Strong understanding and at least one-year hands-on experience with…;30 day ago;517b2e4fa9546096;https://lu.indeed.com/jobs?q=Data%20Scientist&l=Luxembourg&radius=10&start=0&lang=en&vjk=517b2e4fa9546096
8;linkedin;2;Data Scientist III - Partner Marketing;EXPEDIA GROUP;Large Enterprise (+5000 employees);Technology, Travel, Ecommerce, Sales, Hotels, Big Data, Mobile, Business Development, SEO, SEM, Hospitality, Airfare;SWITZERLAND;Geneva;;30 day ago;2723320436;https://ch.linkedin.com/jobs/view/data-scientist-iii-partner-marketing-at-expedia-group-2723320436?refId=1sJliK4EG4mDIsjM34onrA%3D%3D&trackingId=zHiPNXTchNEx%2BoGgfIyFjQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
9;linkedin;2;Data Scientist;CORONA DIRECT;Large Enterprise (+5000 employees);Unknown;BELGIUM;Brussels Metropolitan Area;;14 day ago;2706640626;https://be.linkedin.com/jobs/view/data-scientist-at-corona-direct-2706640626?refId=CyVS1PswljJpH9mdEjRa1Q%3D%3D&trackingId=ygbw6vzw9g3CijSIcTO4gw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
