,Unnamed: 0,COUNTRY_CODE,COUNTRY,REGION,CITY,GEO_ID
0,0.0,AD, Andorra,Andorra la Vella,Andorra la Vella,101077479
1,1.0,AD, Andorra,Escaldes-Engordany,Escaldes-Engordany,104987593
2,2.0,AD, Andorra,La Massana,La Massana,103299102
3,3.0,AD, Andorra,Encamp,Encamp,106195973
4,4.0,AD, Andorra,Ordino,Ordino,103079998
5,5.0,AD, Andorra,Canillo,Canillo,104325393
6,6.0,AD, Andorra,Sant Julià de Lòria,Sant Julià de Lòria,105871577
7,9.0,AE, United Arab Emirates,Umm al-Qaiwain,Umm al-Qaiwain,104399375
8,7.0,AE, United Arab Emirates,Sharjah,Sharjah,101025843
9,11.0,AE, United Arab Emirates,Dubai,Dubai,106204383
10,8.0,AE, United Arab Emirates,Ras al Khaimah,Ras al Khaimah,105960666
11,12.0,AE, United Arab Emirates,Al Fujayrah,Al Fujayrah,106105369
12,13.0,AE, United Arab Emirates,Ajman,Ajman,105074359
13,10.0,AE, United Arab Emirates,Abu Dhabi,Abu Dhabi,103720977
14,21.0,AF, Afghanistan,Kabul,Kabul,102330693
15,14.0,AF, Afghanistan,Mazār-e Sharīf,Mazār-e Sharīf,104910758
16,15.0,AF, Afghanistan,Badakhshan Province,Badakhshan Province,100115135
17,16.0,AF, Afghanistan,Kunduz Province,Kunduz Province,100644344
18,17.0,AF, Afghanistan, Parwan Province,Bagram District,100852715
19,18.0,AF, Afghanistan, Logar Province,Mohammad Agha District,101476018
20,19.0,AF, Afghanistan,Bamyan Province,Bamyan Province,102689296
21,20.0,AF, Afghanistan, Bamyan Province,Bamyan District,106551290
22,29.0,AF, Afghanistan,Baghlan Province,Baghlan Province,104270831
23,22.0,AF, Afghanistan,Jowzjan,Jowzjan,101377077
24,25.0,AF, Afghanistan,Balkh Province,Balkh Province,106005536
25,26.0,AF, Afghanistan,Badghis Province,Badghis Province,107014826
26,27.0,AF, Afghanistan,Kandahar Province,Kandahar Province,106338848
27,28.0,AF, Afghanistan,Helmand Province,Helmand Province,106350430
28,30.0,AF, Afghanistan,Nangarhar Province,Nangarhar Province,102156065
29,23.0,AF, Afghanistan,Kabul Province,Kabul Province,103930031
30,31.0,AF, Afghanistan,Logar Province,Logar Province,102220728
31,32.0,AF, Afghanistan,Parwan Province,Parwan Province,100285952
32,24.0,AF, Afghanistan,Andkhvoy,Andkhvoy,102039721
33,33.0,AG, Antigua and Barbuda, Antigua,Saint George,104356611
34,34.0,AG, Antigua and Barbuda,Antigua,Antigua,105199943
35,35.0,AG, Antigua and Barbuda, Antigua,Saint John,107313195
36,36.0,AG, Antigua and Barbuda, Antigua,Saint Paul,102109189
37,37.0,AG, Antigua and Barbuda,Redonda,Redonda,103913246
38,38.0,AG, Antigua and Barbuda,Barbuda,Barbuda,104885478
39,41.0,AL, Albania, Shkodër,Shkodër,105878500
40,42.0,AL, Albania,Tirana,Tirana,101043671
41,40.0,AL, Albania,Elbasan,Elbasan,102337121
42,43.0,AL, Albania, Kukës,Rrethi i Tropojës,105422747
43,59.0,AL, Albania, Durres,Gjepalaj,104234469
44,45.0,AL, Albania, Lezhë,Kthjellë,103048545
45,46.0,AL, Albania, Fier,Patos,104689760
46,48.0,AL, Albania, Shkodër,Rrethinë,106190549
47,47.0,AL, Albania, Elbasan,Peqin,105387500
48,56.0,AL, Albania,Durres,Durres,102953048
49,51.0,AL, Albania,Lezhë,Lezhë,101596385
50,52.0,AL, Albania, Lezhë,Laç,102433389
51,53.0,AL, Albania,Shkodër,Shkodër,105348010
52,54.0,AL, Albania, Vlorë,Rrethi i Sarandës,106834908
53,55.0,AL, Albania, Fier,Lushnjë,104112567
54,57.0,AL, Albania, Gjirokastër,Gjirokastër,103521212
55,49.0,AL, Albania, Tirana,Kavajë,103414076
56,39.0,AL, Albania, Lezhë,Rrëshen,106245496
57,50.0,AL, Albania, Korçë,Korçë,103099033
